Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-08-08,206.05,207.81,204.52,207.25,22525487.0,0.0,1.0,203.73855482157612,205.47881134419669,202.22571818543435,204.9250933597265,22525487.0
2018-08-09,207.28,209.78,207.2,208.88,23492626.0,0.0,1.0,204.95475682318028,207.4267121109936,204.87565425397023,206.5368082073808,23492626.0
2018-08-10,207.36,209.1,206.67,207.53,24611202.0,0.73,1.0,205.75507905873468,207.48161184018815,205.0704195074686,205.9237632960031,24611202.0
2018-08-13,207.7,210.952,207.7,208.87,25890880.0,0.0,1.0,206.09244753327152,209.319277766195,206.09244753327152,207.25339198976616,25890880.0
2018-08-14,210.155,210.56,208.26,209.75,20748010.0,0.0,1.0,208.52844637147174,208.93031176025835,206.6481132560382,208.12658098268517,20748010.0
2018-08-15,209.22,210.74,208.33,210.24,28807564.0,0.0,1.0,207.6006830664953,209.10891859971906,206.71757147138405,208.61278849010597,28807564.0
2018-08-16,211.75,213.8121,211.47,213.32,28500367.0,0.0,1.0,210.11110142113745,212.15724121920368,209.83326855975415,211.6689499653225,28500367.0
2018-08-17,213.44,217.95,213.16,217.58,35426997.0,0.0,1.0,211.78802119162964,216.26311478033958,211.51018833024634,215.89597849922592,35426997.0
2018-08-20,218.1,219.18,215.11,215.46,30287695.0,0.0,1.0,216.4119538132235,217.48359484998778,213.44509575773733,213.7923868344665,30287695.0
2018-08-21,216.8,217.19,214.025,215.04,26159755.0,0.0,1.0,215.12201552822953,215.5089970137277,212.36849341987696,213.3756375423915,26159755.0
2018-08-22,214.1,216.36,213.84,215.05,19018131.0,0.0,1.0,212.44291293631892,214.68542103177003,212.1849252793201,213.38556014458376,19018131.0
2018-08-23,214.65,217.05,214.6,215.49,18883224.0,0.0,1.0,212.9886560568933,215.37008058303607,212.93904304593198,213.82215464104328,18883224.0
2018-08-24,216.6,216.9,215.11,216.16,18476356.0,0.0,1.0,214.9235634843843,215.22124155015214,213.44509575773733,214.48696898792477,18476356.0
2018-08-27,217.15,218.74,216.33,217.94,20525117.0,0.0,1.0,215.4693066049587,217.04700035352826,214.65565322519325,216.25319217814734,20525117.0
2018-08-28,219.01,220.54,218.92,219.7,22776766.0,0.0,1.0,217.3149106127193,218.83306874813533,217.22560719298895,217.99957016398534,22776766.0
2018-08-29,220.15,223.49,219.41,222.98,27254804.0,0.0,1.0,218.44608726263712,221.76023639485248,217.71181470040978,221.25418368304713,27254804.0
2018-08-30,223.25,228.26,222.4,225.03,48793824.0,0.0,1.0,221.5220939422382,226.4933176405612,220.67867275589597,223.28831713246075,48793824.0
2018-08-31,226.51,228.87,226.0,227.63,43340134.0,0.0,1.0,224.75686225691544,227.09859637428917,224.25080954511012,225.86819370244874,43340134.0
2018-09-04,228.41,229.18,226.63,228.36,27390132.0,0.0,1.0,226.64215667344513,227.4061970422493,224.87593348322258,226.59254366248385,27390132.0
2018-09-05,228.99,229.67,225.1,226.87,33332960.0,0.0,1.0,227.21766760059631,227.89240454967006,223.35777534780658,225.11407593583687,33332960.0
2018-09-06,226.23,227.35,221.3,223.1,34289976.0,0.0,1.0,224.4790293955321,225.5903608410654,219.5871865147472,221.37325490935427,34289976.0
2018-09-07,221.85,225.37,220.71,221.3,37619810.0,0.0,1.0,220.13292963532157,223.62568560699765,219.00175298540378,219.5871865147472,37619810.0
2018-09-10,220.95,221.85,216.47,218.33,39516453.0,0.0,1.0,219.23989543801804,220.13292963532157,214.79456965588489,216.64017366364556,39516453.0
2018-09-11,218.01,224.299,216.56,223.85,35749049.0,0.0,1.0,216.32265039349315,222.56297491220644,214.88387307561524,222.11745007377388,35749049.0
2018-09-12,224.94,225.0,219.84,221.07,49278740.0,0.0,1.0,223.1990137127304,223.25854932588396,218.13848659467703,219.35896666432518,49278740.0
2018-09-13,223.52,228.35,222.57,226.41,41706377.0,0.0,1.0,221.79000420142927,226.58262106029156,220.8473569931644,224.65763623499282,41706377.0
2018-09-14,225.75,226.84,222.522,223.84,31999289.0,0.0,1.0,224.00274449030357,225.08430812926008,220.79972850264156,222.10752747158162,31999289.0
2018-09-17,222.15,222.95,217.27,217.88,37195133.0,0.0,1.0,220.43060770108943,221.22441587647035,215.58837783126583,216.19365656499377,37195133.0
2018-09-18,217.79,221.85,217.12,218.24,31571712.0,0.0,1.0,216.10435314526342,220.13292963532157,215.4395387983819,216.5508702439152,31571712.0
2018-09-19,218.5,219.62,215.3,218.37,27123833.0,0.0,1.0,216.80885790091398,217.92018934644727,213.6336251993903,216.67986407241457,27123833.0
2018-09-20,220.24,222.28,219.15,220.03,26608794.0,0.0,1.0,218.53539068236748,220.55960152958883,217.453827043411,218.32701603632998,26608794.0
2018-09-21,220.78,221.36,217.29,217.66,96246748.0,0.0,1.0,219.07121120074962,219.64672212790077,215.60822303565033,215.975359316764,96246748.0
